Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-22 09:15:00+05:30,2265.800048828125,2268.550048828125,2255.050048828125,2259.60009765625,42073,0.0,0.0
2025-01-22 09:30:00+05:30,2259.5,2262.14990234375,2245.10009765625,2257.39990234375,51549,0.0,0.0
2025-01-22 09:45:00+05:30,2257.0,2260.0,2246.39990234375,2258.050048828125,36007,0.0,0.0
2025-01-22 10:00:00+05:30,2257.699951171875,2258.25,2250.0,2250.0,12334,0.0,0.0
2025-01-22 10:15:00+05:30,2251.25,2257.0,2250.75,2256.5,25144,0.0,0.0
2025-01-22 10:30:00+05:30,2257.0,2261.449951171875,2251.0,2256.35009765625,16172,0.0,0.0
2025-01-22 10:45:00+05:30,2256.5,2259.35009765625,2252.75,2256.449951171875,10126,0.0,0.0
2025-01-22 11:00:00+05:30,2256.60009765625,2261.5,2255.050048828125,2259.449951171875,14515,0.0,0.0
2025-01-22 11:15:00+05:30,2259.449951171875,2260.0,2255.300048828125,2257.10009765625,10256,0.0,0.0
2025-01-22 11:30:00+05:30,2257.949951171875,2258.699951171875,2253.35009765625,2256.60009765625,11274,0.0,0.0
2025-01-22 11:45:00+05:30,2256.5,2264.85009765625,2253.699951171875,2254.800048828125,44031,0.0,0.0
2025-01-22 12:00:00+05:30,2254.050048828125,2258.60009765625,2250.0,2256.949951171875,35015,0.0,0.0
2025-01-22 12:15:00+05:30,2257.0,2257.949951171875,2248.75,2252.199951171875,20684,0.0,0.0
2025-01-22 12:30:00+05:30,2252.85009765625,2256.25,2250.800048828125,2252.449951171875,18705,0.0,0.0
2025-01-22 12:45:00+05:30,2252.14990234375,2253.89990234375,2249.0,2250.0,22271,0.0,0.0
2025-01-22 13:00:00+05:30,2250.199951171875,2254.89990234375,2250.0,2254.85009765625,13651,0.0,0.0
2025-01-22 13:15:00+05:30,2254.550048828125,2254.949951171875,2250.0,2252.14990234375,14993,0.0,0.0
2025-01-22 13:30:00+05:30,2252.300048828125,2255.64990234375,2247.64990234375,2248.699951171875,22003,0.0,0.0
2025-01-22 13:45:00+05:30,2248.39990234375,2254.699951171875,2248.25,2253.10009765625,18197,0.0,0.0
2025-01-22 14:00:00+05:30,2253.10009765625,2255.0,2247.64990234375,2250.64990234375,34371,0.0,0.0
2025-01-22 14:15:00+05:30,2251.199951171875,2261.699951171875,2250.75,2261.10009765625,44852,0.0,0.0
2025-01-22 14:30:00+05:30,2261.050048828125,2265.0,2258.10009765625,2261.699951171875,52349,0.0,0.0
2025-01-22 14:45:00+05:30,2262.0,2264.75,2260.0,2263.699951171875,27010,0.0,0.0
2025-01-22 15:00:00+05:30,2263.699951171875,2265.449951171875,2260.0,2262.35009765625,116565,0.0,0.0
2025-01-22 15:15:00+05:30,2262.0,2263.60009765625,2260.0,2260.050048828125,93382,0.0,0.0
2025-01-23 09:15:00+05:30,2268.75,2268.75,2247.949951171875,2251.60009765625,30402,0.0,0.0
2025-01-23 09:30:00+05:30,2251.60009765625,2273.0,2246.25,2267.300048828125,52298,0.0,0.0
2025-01-23 09:45:00+05:30,2267.60009765625,2277.89990234375,2265.0,2276.60009765625,40116,0.0,0.0
2025-01-23 10:00:00+05:30,2276.39990234375,2290.0,2275.0,2288.550048828125,43866,0.0,0.0
2025-01-23 10:15:00+05:30,2287.050048828125,2292.89990234375,2286.60009765625,2292.0,41377,0.0,0.0
2025-01-23 10:30:00+05:30,2291.5,2301.39990234375,2288.300048828125,2300.0,40897,0.0,0.0
