Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-27 09:15:00+05:30,2222.0,2227.949951171875,2214.10009765625,2225.60009765625,32169,0.0,0.0
2025-02-27 09:30:00+05:30,2225.550048828125,2226.0,2216.199951171875,2218.050048828125,33898,0.0,0.0
2025-02-27 09:45:00+05:30,2218.199951171875,2220.800048828125,2208.25,2209.300048828125,29187,0.0,0.0
2025-02-27 10:00:00+05:30,2208.699951171875,2212.10009765625,2207.199951171875,2208.75,27328,0.0,0.0
2025-02-27 10:15:00+05:30,2208.75,2212.050048828125,2206.550048828125,2211.85009765625,21867,0.0,0.0
2025-02-27 10:30:00+05:30,2211.949951171875,2217.89990234375,2211.25,2213.85009765625,27076,0.0,0.0
2025-02-27 10:45:00+05:30,2215.0,2219.800048828125,2213.75,2214.0,25928,0.0,0.0
2025-02-27 11:00:00+05:30,2214.0,2217.199951171875,2212.300048828125,2216.5,20169,0.0,0.0
2025-02-27 11:15:00+05:30,2216.5,2218.35009765625,2215.25,2218.0,16767,0.0,0.0
2025-02-27 11:30:00+05:30,2218.0,2220.949951171875,2217.0,2219.0,24680,0.0,0.0
2025-02-27 11:45:00+05:30,2218.949951171875,2219.39990234375,2215.25,2219.39990234375,18790,0.0,0.0
2025-02-27 12:00:00+05:30,2219.60009765625,2222.89990234375,2218.85009765625,2221.85009765625,27433,0.0,0.0
2025-02-27 12:15:00+05:30,2221.64990234375,2222.89990234375,2216.699951171875,2217.75,22132,0.0,0.0
2025-02-27 12:30:00+05:30,2217.39990234375,2218.300048828125,2212.449951171875,2216.25,36941,0.0,0.0
2025-02-27 12:45:00+05:30,2216.25,2216.5,2213.800048828125,2216.35009765625,24303,0.0,0.0
2025-02-27 13:00:00+05:30,2216.35009765625,2216.949951171875,2214.0,2214.199951171875,24504,0.0,0.0
2025-02-27 13:15:00+05:30,2214.14990234375,2214.60009765625,2210.35009765625,2211.25,33034,0.0,0.0
2025-02-27 13:30:00+05:30,2211.25,2211.449951171875,2203.300048828125,2203.300048828125,41754,0.0,0.0
2025-02-27 13:45:00+05:30,2203.64990234375,2203.699951171875,2200.300048828125,2201.25,30090,0.0,0.0
2025-02-27 14:00:00+05:30,2201.300048828125,2202.449951171875,2199.0,2200.5,45671,0.0,0.0
2025-02-27 14:15:00+05:30,2200.5,2208.64990234375,2200.0,2208.550048828125,39571,0.0,0.0
2025-02-27 14:30:00+05:30,2207.5,2208.300048828125,2202.25,2205.75,46865,0.0,0.0
2025-02-27 14:45:00+05:30,2205.25,2211.0,2204.25,2210.449951171875,55895,0.0,0.0
2025-02-27 15:00:00+05:30,2211.75,2216.199951171875,2210.89990234375,2213.199951171875,157937,0.0,0.0
2025-02-27 15:15:00+05:30,2212.949951171875,2216.449951171875,2209.60009765625,2215.0,119187,0.0,0.0
2025-02-28 09:15:00+05:30,2203.14990234375,2207.5,2194.14990234375,2202.85009765625,39717,0.0,0.0
2025-02-28 09:30:00+05:30,2204.89990234375,2206.14990234375,2197.35009765625,2200.949951171875,55241,0.0,0.0
