Close,Datetime
2230,2025-03-17 09:15:00+05:30
2226.649902,2025-03-17 09:30:00+05:30
2219.850098,2025-03-17 09:45:00+05:30
2217.5,2025-03-17 10:00:00+05:30
2212.5,2025-03-17 10:15:00+05:30
2210,2025-03-17 10:30:00+05:30
2211,2025-03-17 10:45:00+05:30
2206.600098,2025-03-17 11:00:00+05:30
2207.550049,2025-03-17 11:15:00+05:30
2210.050049,2025-03-17 11:30:00+05:30
2208,2025-03-17 11:45:00+05:30
2208.050049,2025-03-17 12:00:00+05:30
2206.300049,2025-03-17 12:15:00+05:30
2202.949951,2025-03-17 12:30:00+05:30
2201.199951,2025-03-17 12:45:00+05:30
2207,2025-03-17 13:00:00+05:30
2212,2025-03-17 13:15:00+05:30
2211.449951,2025-03-17 13:30:00+05:30
2217.350098,2025-03-17 13:45:00+05:30
2218,2025-03-17 14:00:00+05:30
2211.600098,2025-03-17 14:15:00+05:30
2213,2025-03-17 14:30:00+05:30
2215.149902,2025-03-17 14:45:00+05:30
2219.050049,2025-03-17 15:00:00+05:30
2222.149902,2025-03-17 15:15:00+05:30
2225.800049,2025-03-18 09:15:00+05:30
2229.550049,2025-03-18 09:30:00+05:30
2230.050049,2025-03-18 09:45:00+05:30
2244.899902,2025-03-18 10:00:00+05:30
2248,2025-03-18 10:15:00+05:30
2255,2025-03-18 10:30:00+05:30
2259.199951,2025-03-18 10:45:00+05:30
2273.199951,2025-03-18 11:00:00+05:30
2287.850098,2025-03-18 11:15:00+05:30
2283.899902,2025-03-18 11:30:00+05:30
2276.899902,2025-03-18 11:45:00+05:30
2279,2025-03-18 12:00:00+05:30
2275.75,2025-03-18 12:15:00+05:30
2267.800049,2025-03-18 12:30:00+05:30
2275,2025-03-18 12:45:00+05:30
2275,2025-03-18 13:00:00+05:30
2273.100098,2025-03-18 13:15:00+05:30
2273.800049,2025-03-18 13:30:00+05:30
2268,2025-03-18 13:45:00+05:30
2265.300049,2025-03-18 14:00:00+05:30
2266.550049,2025-03-18 14:15:00+05:30
2272.649902,2025-03-18 14:30:00+05:30
2269.25,2025-03-18 14:45:00+05:30
2273.800049,2025-03-18 15:00:00+05:30
2275,2025-03-18 15:15:00+05:30
2277.25,2025-03-19 09:15:00+05:30
2273.699951,2025-03-19 09:30:00+05:30
2275,2025-03-19 09:45:00+05:30
2276.100098,2025-03-19 10:00:00+05:30
2276.449951,2025-03-19 10:15:00+05:30
2280.399902,2025-03-19 10:30:00+05:30
2280,2025-03-19 10:45:00+05:30
2271.949951,2025-03-19 11:00:00+05:30
2273.350098,2025-03-19 11:15:00+05:30
2278.050049,2025-03-19 11:30:00+05:30
2278.25,2025-03-19 11:45:00+05:30
2278,2025-03-19 12:00:00+05:30
2275.100098,2025-03-19 12:15:00+05:30
2281,2025-03-19 12:30:00+05:30
2283.899902,2025-03-19 12:45:00+05:30
2279.800049,2025-03-19 13:00:00+05:30
2280.300049,2025-03-19 13:15:00+05:30
2281.300049,2025-03-19 13:30:00+05:30
2282.899902,2025-03-19 13:45:00+05:30
2281.100098,2025-03-19 14:00:00+05:30
2282.199951,2025-03-19 14:15:00+05:30
2281.949951,2025-03-19 14:30:00+05:30
2283.850098,2025-03-19 14:45:00+05:30
2283.600098,2025-03-19 15:00:00+05:30
2280.699951,2025-03-19 15:15:00+05:30
2297.300049,2025-03-20 09:15:00+05:30
2299,2025-03-20 09:30:00+05:30
2295.949951,2025-03-20 09:45:00+05:30
2286.199951,2025-03-20 10:00:00+05:30
2294.649902,2025-03-20 10:15:00+05:30
2281.399902,2025-03-20 10:30:00+05:30
2274.25,2025-03-20 10:45:00+05:30
2283.600098,2025-03-20 11:00:00+05:30
2283.550049,2025-03-20 11:15:00+05:30
2290.600098,2025-03-20 11:30:00+05:30
2287,2025-03-20 11:45:00+05:30
2290.75,2025-03-20 12:00:00+05:30
2292.350098,2025-03-20 12:15:00+05:30
2294,2025-03-20 12:30:00+05:30
2292.949951,2025-03-20 12:45:00+05:30
2293.350098,2025-03-20 13:00:00+05:30
2288.350098,2025-03-20 13:15:00+05:30
2282.600098,2025-03-20 13:30:00+05:30
2279.25,2025-03-20 13:45:00+05:30
2281.449951,2025-03-20 14:00:00+05:30
2287.649902,2025-03-20 14:15:00+05:30
2288.649902,2025-03-20 14:30:00+05:30
2288.300049,2025-03-20 14:45:00+05:30
2288,2025-03-20 15:00:00+05:30
2287.199951,2025-03-20 15:15:00+05:30
2282.050049,2025-03-21 09:15:00+05:30
2286.5,2025-03-21 09:30:00+05:30
2281,2025-03-21 09:45:00+05:30
2284.25,2025-03-21 10:00:00+05:30
2290.149902,2025-03-21 10:15:00+05:30
2303,2025-03-21 10:30:00+05:30
2305.25,2025-03-21 10:45:00+05:30
2300,2025-03-21 11:00:00+05:30
2308.350098,2025-03-21 11:15:00+05:30
2305.100098,2025-03-21 11:30:00+05:30
2307.5,2025-03-21 11:45:00+05:30
2305.949951,2025-03-21 12:00:00+05:30
2305.399902,2025-03-21 12:15:00+05:30
2306.149902,2025-03-21 12:30:00+05:30
2310.449951,2025-03-21 12:45:00+05:30
2311.600098,2025-03-21 13:00:00+05:30
2313.25,2025-03-21 13:15:00+05:30
2305,2025-03-21 13:30:00+05:30
2301.800049,2025-03-21 13:45:00+05:30
2300.800049,2025-03-21 14:00:00+05:30
2307,2025-03-21 14:15:00+05:30
2305.5,2025-03-21 14:30:00+05:30
2307.100098,2025-03-21 14:45:00+05:30
2301.5,2025-03-21 15:00:00+05:30
2300.399902,2025-03-21 15:15:00+05:30
