Close,Datetime
2257.350098,2025-03-07 09:15:00+05:30
2255,2025-03-07 09:30:00+05:30
2261,2025-03-07 09:45:00+05:30
2269.449951,2025-03-07 10:00:00+05:30
2262.899902,2025-03-07 10:15:00+05:30
2259.649902,2025-03-07 10:30:00+05:30
2262.350098,2025-03-07 10:45:00+05:30
2263.399902,2025-03-07 11:00:00+05:30
2263.550049,2025-03-07 11:15:00+05:30
2263.399902,2025-03-07 11:30:00+05:30
2263,2025-03-07 11:45:00+05:30
2259,2025-03-07 12:00:00+05:30
2260.25,2025-03-07 12:15:00+05:30
2260,2025-03-07 12:30:00+05:30
2255.300049,2025-03-07 12:45:00+05:30
2254.649902,2025-03-07 13:00:00+05:30
2255.800049,2025-03-07 13:15:00+05:30
2266.300049,2025-03-07 13:30:00+05:30
2265.550049,2025-03-07 13:45:00+05:30
2265.199951,2025-03-07 14:00:00+05:30
2269.100098,2025-03-07 14:15:00+05:30
2269.699951,2025-03-07 14:30:00+05:30
2275.100098,2025-03-07 14:45:00+05:30
2270.75,2025-03-07 15:00:00+05:30
2264.5,2025-03-07 15:15:00+05:30
2271.449951,2025-03-10 09:15:00+05:30
2283.149902,2025-03-10 09:30:00+05:30
2276.699951,2025-03-10 09:45:00+05:30
2278.100098,2025-03-10 10:00:00+05:30
2276.350098,2025-03-10 10:15:00+05:30
2281.5,2025-03-10 10:30:00+05:30
2282.850098,2025-03-10 10:45:00+05:30
2287.199951,2025-03-10 11:00:00+05:30
2285.199951,2025-03-10 11:15:00+05:30
2287.5,2025-03-10 11:30:00+05:30
2280.899902,2025-03-10 11:45:00+05:30
2285.800049,2025-03-10 12:00:00+05:30
2281.899902,2025-03-10 12:15:00+05:30
2285.100098,2025-03-10 12:30:00+05:30
2286.300049,2025-03-10 12:45:00+05:30
2288.899902,2025-03-10 13:00:00+05:30
2289.350098,2025-03-10 13:15:00+05:30
2285.5,2025-03-10 13:30:00+05:30
2283.449951,2025-03-10 13:45:00+05:30
2283.75,2025-03-10 14:00:00+05:30
2280.050049,2025-03-10 14:15:00+05:30
2271.649902,2025-03-10 14:30:00+05:30
2271.5,2025-03-10 14:45:00+05:30
2282,2025-03-10 15:00:00+05:30
2278.600098,2025-03-10 15:15:00+05:30
2271.550049,2025-03-11 09:15:00+05:30
2279.550049,2025-03-11 09:30:00+05:30
2282.399902,2025-03-11 09:45:00+05:30
2282.600098,2025-03-11 10:00:00+05:30
2281,2025-03-11 10:15:00+05:30
2287.550049,2025-03-11 10:30:00+05:30
2288.399902,2025-03-11 10:45:00+05:30
2286.199951,2025-03-11 11:00:00+05:30
2283.800049,2025-03-11 11:15:00+05:30
2284.199951,2025-03-11 11:30:00+05:30
2283.699951,2025-03-11 11:45:00+05:30
2281.350098,2025-03-11 12:00:00+05:30
2281,2025-03-11 12:15:00+05:30
2284.100098,2025-03-11 12:30:00+05:30
2281.850098,2025-03-11 12:45:00+05:30
2283.399902,2025-03-11 13:00:00+05:30
2283.699951,2025-03-11 13:15:00+05:30
2283.050049,2025-03-11 13:30:00+05:30
2286.75,2025-03-11 13:45:00+05:30
2287,2025-03-11 14:00:00+05:30
2287,2025-03-11 14:15:00+05:30
2288.949951,2025-03-11 14:30:00+05:30
2286.75,2025-03-11 14:45:00+05:30
2288.800049,2025-03-11 15:00:00+05:30
2282.699951,2025-03-11 15:15:00+05:30
2277.550049,2025-03-12 09:15:00+05:30
2275,2025-03-12 09:30:00+05:30
2267,2025-03-12 09:45:00+05:30
2266.699951,2025-03-12 10:00:00+05:30
2262,2025-03-12 10:15:00+05:30
2263.75,2025-03-12 10:30:00+05:30
2261.149902,2025-03-12 10:45:00+05:30
2267.399902,2025-03-12 11:00:00+05:30
2271,2025-03-12 11:15:00+05:30
2262.5,2025-03-12 11:30:00+05:30
2260.600098,2025-03-12 11:45:00+05:30
2260,2025-03-12 12:00:00+05:30
2262.800049,2025-03-12 12:15:00+05:30
2260,2025-03-12 12:30:00+05:30
2257,2025-03-12 12:45:00+05:30
2256.199951,2025-03-12 13:00:00+05:30
2266.600098,2025-03-12 13:15:00+05:30
2262.449951,2025-03-12 13:30:00+05:30
2259.350098,2025-03-12 13:45:00+05:30
2254.699951,2025-03-12 14:00:00+05:30
2254.850098,2025-03-12 14:15:00+05:30
2254,2025-03-12 14:30:00+05:30
2254.449951,2025-03-12 14:45:00+05:30
2252.550049,2025-03-12 15:00:00+05:30
2251.300049,2025-03-12 15:15:00+05:30
2247.149902,2025-03-13 09:15:00+05:30
2242.449951,2025-03-13 09:30:00+05:30
2242.5,2025-03-13 09:45:00+05:30
2243.300049,2025-03-13 10:00:00+05:30
2241.149902,2025-03-13 10:15:00+05:30
2237.800049,2025-03-13 10:30:00+05:30
2236.75,2025-03-13 10:45:00+05:30
2238.850098,2025-03-13 11:00:00+05:30
2239.25,2025-03-13 11:15:00+05:30
2240.050049,2025-03-13 11:30:00+05:30
2238,2025-03-13 11:45:00+05:30
2239.899902,2025-03-13 12:00:00+05:30
2240.050049,2025-03-13 12:15:00+05:30
2249.25,2025-03-13 12:30:00+05:30
2248.5,2025-03-13 12:45:00+05:30
2249,2025-03-13 13:00:00+05:30
2245.399902,2025-03-13 13:15:00+05:30
2243.100098,2025-03-13 13:30:00+05:30
2237.399902,2025-03-13 13:45:00+05:30
2237,2025-03-13 14:00:00+05:30
2232.75,2025-03-13 14:15:00+05:30
2235,2025-03-13 14:30:00+05:30
2232,2025-03-13 14:45:00+05:30
2230.600098,2025-03-13 15:00:00+05:30
2227.949951,2025-03-13 15:15:00+05:30
