Close,Datetime
2236.550049,2025-02-18 09:15:00+05:30
2233.050049,2025-02-18 09:30:00+05:30
2229.050049,2025-02-18 09:45:00+05:30
2228.5,2025-02-18 10:00:00+05:30
2222.350098,2025-02-18 10:15:00+05:30
2224.949951,2025-02-18 10:30:00+05:30
2230.699951,2025-02-18 10:45:00+05:30
2223.649902,2025-02-18 11:00:00+05:30
2227.850098,2025-02-18 11:15:00+05:30
2234.600098,2025-02-18 11:30:00+05:30
2230.100098,2025-02-18 11:45:00+05:30
2232.5,2025-02-18 12:00:00+05:30
2233.649902,2025-02-18 12:15:00+05:30
2230.050049,2025-02-18 12:30:00+05:30
2230,2025-02-18 12:45:00+05:30
2228.850098,2025-02-18 13:00:00+05:30
2230.050049,2025-02-18 13:15:00+05:30
2232.699951,2025-02-18 13:30:00+05:30
2230.350098,2025-02-18 13:45:00+05:30
2233.25,2025-02-18 14:00:00+05:30
2233.899902,2025-02-18 14:15:00+05:30
2232.399902,2025-02-18 14:30:00+05:30
2230.199951,2025-02-18 14:45:00+05:30
2238.449951,2025-02-18 15:00:00+05:30
2237.600098,2025-02-18 15:15:00+05:30
2227.100098,2025-02-19 09:15:00+05:30
2236.699951,2025-02-19 09:30:00+05:30
2245.449951,2025-02-19 09:45:00+05:30
2245.050049,2025-02-19 10:00:00+05:30
2247.25,2025-02-19 10:15:00+05:30
2246.649902,2025-02-19 10:30:00+05:30
2237.449951,2025-02-19 10:45:00+05:30
2243.350098,2025-02-19 11:00:00+05:30
2241.350098,2025-02-19 11:15:00+05:30
2239.149902,2025-02-19 11:30:00+05:30
2242.850098,2025-02-19 11:45:00+05:30
2242.850098,2025-02-19 12:00:00+05:30
2240.5,2025-02-19 12:15:00+05:30
2236.25,2025-02-19 12:30:00+05:30
2236.850098,2025-02-19 12:45:00+05:30
2238.050049,2025-02-19 13:00:00+05:30
2241.100098,2025-02-19 13:15:00+05:30
2240.600098,2025-02-19 13:30:00+05:30
2238.300049,2025-02-19 13:45:00+05:30
2240.75,2025-02-19 14:00:00+05:30
2232.5,2025-02-19 14:15:00+05:30
2236.649902,2025-02-19 14:30:00+05:30
2240,2025-02-19 14:45:00+05:30
2240.199951,2025-02-19 15:00:00+05:30
2239.649902,2025-02-19 15:15:00+05:30
2237.350098,2025-02-20 09:15:00+05:30
2237.699951,2025-02-20 09:30:00+05:30
2237.649902,2025-02-20 09:45:00+05:30
2247.649902,2025-02-20 10:00:00+05:30
2248.399902,2025-02-20 10:15:00+05:30
2246.899902,2025-02-20 10:30:00+05:30
2245.199951,2025-02-20 10:45:00+05:30
2255,2025-02-20 11:00:00+05:30
2255.5,2025-02-20 11:15:00+05:30
2255.050049,2025-02-20 11:30:00+05:30
2250.649902,2025-02-20 11:45:00+05:30
2249,2025-02-20 12:00:00+05:30
2253.300049,2025-02-20 12:15:00+05:30
2251.5,2025-02-20 12:30:00+05:30
2250.199951,2025-02-20 12:45:00+05:30
2250.550049,2025-02-20 13:00:00+05:30
2251.050049,2025-02-20 13:15:00+05:30
2252,2025-02-20 13:30:00+05:30
2251.899902,2025-02-20 13:45:00+05:30
2251.350098,2025-02-20 14:00:00+05:30
2250.649902,2025-02-20 14:15:00+05:30
2252.149902,2025-02-20 14:30:00+05:30
2251.149902,2025-02-20 14:45:00+05:30
2251,2025-02-20 15:00:00+05:30
2249.050049,2025-02-20 15:15:00+05:30
2250.550049,2025-02-21 09:15:00+05:30
2244.949951,2025-02-21 09:30:00+05:30
2241.899902,2025-02-21 09:45:00+05:30
2238.699951,2025-02-21 10:00:00+05:30
2243.449951,2025-02-21 10:15:00+05:30
2242.399902,2025-02-21 10:30:00+05:30
2245.600098,2025-02-21 10:45:00+05:30
2247.649902,2025-02-21 11:00:00+05:30
2247.850098,2025-02-21 11:15:00+05:30
2254.149902,2025-02-21 11:30:00+05:30
2258.5,2025-02-21 11:45:00+05:30
2262.050049,2025-02-21 12:00:00+05:30
2262.5,2025-02-21 12:15:00+05:30
2250.5,2025-02-21 12:30:00+05:30
2249,2025-02-21 12:45:00+05:30
2247.899902,2025-02-21 13:00:00+05:30
2250.899902,2025-02-21 13:15:00+05:30
2244.649902,2025-02-21 13:30:00+05:30
2243.699951,2025-02-21 13:45:00+05:30
2247,2025-02-21 14:00:00+05:30
2250.649902,2025-02-21 14:15:00+05:30
2253.75,2025-02-21 14:30:00+05:30
2251.25,2025-02-21 14:45:00+05:30
2259.5,2025-02-21 15:00:00+05:30
2257.600098,2025-02-21 15:15:00+05:30
2251.149902,2025-02-24 09:15:00+05:30
2242.300049,2025-02-24 09:30:00+05:30
2246.899902,2025-02-24 09:45:00+05:30
2249.199951,2025-02-24 10:00:00+05:30
2247.350098,2025-02-24 10:15:00+05:30
2256.75,2025-02-24 10:30:00+05:30
2253.649902,2025-02-24 10:45:00+05:30
2256.5,2025-02-24 11:00:00+05:30
2255.300049,2025-02-24 11:15:00+05:30
2257.75,2025-02-24 11:30:00+05:30
2253,2025-02-24 11:45:00+05:30
2246.850098,2025-02-24 12:00:00+05:30
2249,2025-02-24 12:15:00+05:30
2245.550049,2025-02-24 12:30:00+05:30
2248.149902,2025-02-24 12:45:00+05:30
2249.100098,2025-02-24 13:00:00+05:30
2249.399902,2025-02-24 13:15:00+05:30
2246.300049,2025-02-24 13:30:00+05:30
2247.100098,2025-02-24 13:45:00+05:30
2251.899902,2025-02-24 14:00:00+05:30
2249.300049,2025-02-24 14:15:00+05:30
2249.949951,2025-02-24 14:30:00+05:30
2249,2025-02-24 14:45:00+05:30
2246.949951,2025-02-24 15:00:00+05:30
2244,2025-02-24 15:15:00+05:30
